Processo;Cidade;Estado;Tipo;Endereço;Avaliação;% Leilão;Data Início;Data Fim;Arremate;ITBI (3%);Cartório (5%);Leiloeiro (5%);Honorários (5%);Custos;Lucro;ROI;Score;Status
0001982-22.2011.5.02.0442;Serra;ES;Terreno;Rodovia BR 101 Norte, entrada do bairro Civit I, Fazenda Cacu, Maringá, Serra/ES;R$ 52.000.000,00;70%;14/07/2026;14/07/2026;R$ 36.400.000,00;R$ 1.092.000,00;R$ 1.820.000,00;R$ 1.820.000,00;R$ 1.820.000,00;R$ 42.952.000,00;R$ 9.048.000,00;21,07%;30;VERMELHO
1001588-77.2014.5.02.0511;Santana de Parnaíba;SP;Casa e Terreno;Alameda Formosa, nº 121, Fazenda Tamboré Residencial 3, Santana de Parnaíba/SP;R$ 10.000.000,00;50%;25/06/2026;25/06/2026;R$ 5.000.000,00;R$ 150.000,00;R$ 250.000,00;R$ 250.000,00;R$ 250.000,00;R$ 5.900.000,00;R$ 4.100.000,00;69,49%;30;VERMELHO
0058600-89.1996.5.02.0481;Monte Mor;SP;Sítio;Estrada Municipal MOR-356, Sítio Santa Cruz, Bairro Santa Cruz (Zona Rural);R$ 6.900.000,00;50%;14/07/2026;14/07/2026;R$ 3.450.000,00;R$ 103.500,00;R$ 172.500,00;R$ 172.500,00;R$ 172.500,00;R$ 4.071.000,00;R$ 2.829.000,00;69,49%;50;VERMELHO
1000194-66.2021.5.02.0292;Mairiporã;SP;Terreno;Avenida Vereador Belarmino Pereira de Carvalho, s/nº, Barreiro, Mairiporã/SP;R$ 4.500.000,00;40%;14/07/2026;14/07/2026;R$ 1.800.000,00;R$ 54.000,00;R$ 90.000,00;R$ 90.000,00;R$ 90.000,00;R$ 2.124.000,00;R$ 2.376.000,00;111,86%;85;VERDE
0001944-29.2014.5.02.0434;São Bernardo do Campo;SP;Prédio Comercial e Terrenos;Estrada Martim Afonso de Souza, 800/804, Vila Balneária;R$ 3.530.000,00;40%;14/07/2026;14/07/2026;R$ 1.412.000,00;R$ 42.360,00;R$ 70.600,00;R$ 70.600,00;R$ 70.600,00;R$ 1.666.160,00;R$ 1.863.840,00;111,86%;50;VERMELHO
0000588-28.2015.5.02.0025;São Bernardo do Campo;SP;Prédio e Terreno;Estrada Martim Afonso de Souza, nº 800/804, Bairro do Rio Grande;R$ 3.530.000,00;50%;14/07/2026;14/07/2026;R$ 1.765.000,00;R$ 52.950,00;R$ 88.250,00;R$ 88.250,00;R$ 88.250,00;R$ 2.082.700,00;R$ 1.447.300,00;69,49%;45;VERMELHO
1000881-49.2023.5.02.0041;São Paulo;SP;Casa;Rua Andrade Fernandes, 120, Vila Madalena;R$ 3.500.000,00;70%;14/07/2026;14/07/2026;R$ 2.450.000,00;R$ 73.500,00;R$ 122.500,00;R$ 122.500,00;R$ 122.500,00;R$ 2.891.000,00;R$ 609.000,00;21,07%;50;VERMELHO
0202200-12.2008.5.02.0203;Itanhaém;SP;Terreno;Avenida José Peixe Abade, nº 4.635, Vila Suarão;R$ 2.800.000,00;50%;25/06/2026;25/06/2026;R$ 1.400.000,00;R$ 42.000,00;R$ 70.000,00;R$ 70.000,00;R$ 70.000,00;R$ 1.652.000,00;R$ 1.148.000,00;69,49%;5;VERMELHO
0000486-80.2015.5.02.0065;São Paulo;SP;Apartamento;Rua Dr. Albuquerque Lins, nº 1322, Apto. 31, Condomínio Edifício Ilha Tapajós, Santa Cecília;R$ 2.500.000,00;40%;14/07/2026;14/07/2026;R$ 1.000.000,00;R$ 30.000,00;R$ 50.000,00;R$ 50.000,00;R$ 50.000,00;R$ 1.180.000,00;R$ 1.320.000,00;111,86%;40;VERMELHO
1001419-03.2021.5.02.0008;São Paulo;SP;Casa;Rua Ariosto Cesar, nº 150, Parada Inglesa, São Paulo-SP;R$ 2.100.000,00;50%;14/07/2026;14/07/2026;R$ 1.050.000,00;R$ 31.500,00;R$ 52.500,00;R$ 52.500,00;R$ 52.500,00;R$ 1.239.000,00;R$ 861.000,00;69,49%;45;VERMELHO
1002046-91.2016.5.02.0263;Carapicuíba;SP;Casa;Rua Nazaré Paulista, 19, Parque Primavera, Carapicuíba/SP;R$ 2.100.000,00;100%;14/07/2026;14/07/2026;R$ 2.100.000,00;R$ 63.000,00;R$ 105.000,00;R$ 105.000,00;R$ 105.000,00;R$ 2.478.000,00;-R$ 378.000,00;-15,25%;70;AMARELO
0001655-97.2013.5.02.0445;São Paulo;SP;Apartamento;Rua Professor Pedreira de Freitas, 372, Apto 112-A, 11º Andar, Tatuapé;R$ 1.980.000,00;60%;14/07/2026;14/07/2026;R$ 1.188.000,00;R$ 35.640,00;R$ 59.400,00;R$ 59.400,00;R$ 59.400,00;R$ 1.401.840,00;R$ 578.160,00;41,24%;35;VERMELHO
