Processo;Cidade;Estado;Tipo;Endereço;Avaliação;% Leilão;Data Início;Data Fim;Arremate;ITBI (3%);Cartório (5%);Leiloeiro (5%);Honorários (5%);Custos;Lucro;ROI;Score;Status
1000203-17.2016.5.02.0029;Itapevi;SP;Terreno com galpão e área administrativa;Rodovia Engenheiro Renê Benedito da Silva, nº 2.353, Jardim Briquet;R$ 29.300.000,00;70%;25/06/2026;25/06/2026;R$ 20.510.000,00;R$ 615.300,00;R$ 1.025.500,00;R$ 1.025.500,00;R$ 1.025.500,00;R$ 24.201.800,00;R$ 5.098.200,00;21,07%;35;VERMELHO
0350100-80.2000.5.02.0202;São Paulo;SP;Terreno com benfeitorias;Rua África do Sul, 297 - Várzea de Baixo - São Paulo/SP;R$ 19.488.560,00;77%;25/06/2026;25/06/2026;R$ 15.006.191,20;R$ 450.185,74;R$ 750.309,56;R$ 750.309,56;R$ 750.309,56;R$ 17.707.305,62;R$ 1.781.254,38;10,06%;15;VERMELHO
0002651-59.2013.5.02.0069;São Paulo;SP;Terreno;Rua Doze de Setembro, 1387, Vila Guilherme, São Paulo/SP;R$ 11.500.000,00;82%;25/06/2026;25/06/2026;R$ 9.430.000,00;R$ 282.900,00;R$ 471.500,00;R$ 471.500,00;R$ 471.500,00;R$ 11.127.400,00;R$ 372.600,00;3,35%;15;VERMELHO
1001429-79.2016.5.02.0442;Mauá;SP;Prédio e Terreno;Rua Rio Branco, 723, Vila Augusto;R$ 11.014.427,47;80%;25/06/2026;25/06/2026;R$ 8.811.541,98;R$ 264.346,26;R$ 440.577,10;R$ 440.577,10;R$ 440.577,10;R$ 10.397.619,53;R$ 616.807,94;5,93%;15;VERMELHO
1000491-80.2016.5.02.0023;Barueri;SP;Terreno;Alameda Moscato, s/n°, lotes 04 e 05, Quadra 05, Villa Solaia, Jubran;R$ 6.870.000,00;50%;25/06/2026;25/06/2026;R$ 3.435.000,00;R$ 103.050,00;R$ 171.750,00;R$ 171.750,00;R$ 171.750,00;R$ 4.053.300,00;R$ 2.816.700,00;69,49%;80;VERDE
1000694-17.2022.5.02.0319;Mairiporã;SP;Casa e Terreno;Av. Dr. Luiz Felippe Franca Ramos, nº 1000, Roseira, Mairiporã/SP;R$ 3.000.000,00;70%;25/06/2026;25/06/2026;R$ 2.100.000,00;R$ 63.000,00;R$ 105.000,00;R$ 105.000,00;R$ 105.000,00;R$ 2.478.000,00;R$ 522.000,00;21,07%;60;AMARELO
1001368-86.2023.5.02.0051;São Paulo;SP;Apartamento;Alameda Jaú, nº 161, Jardim Paulista;R$ 2.096.416,27;40%;25/06/2026;25/06/2026;R$ 838.566,51;R$ 25.157,00;R$ 41.928,33;R$ 41.928,33;R$ 41.928,33;R$ 989.508,48;R$ 1.106.907,79;111,86%;30;VERMELHO
0001095-94.2013.5.02.0045;SÃO PAULO;SP;Apartamento;Avenida Ibijaú nº 199, Indianópolis - 24º Subdistrito, apto 71, Condomínio Edifício Santa Maria Di Castellabate;R$ 1.800.000,00;80%;25/06/2026;25/06/2026;R$ 1.440.000,00;R$ 43.200,00;R$ 72.000,00;R$ 72.000,00;R$ 72.000,00;R$ 1.699.200,00;R$ 100.800,00;5,93%;65;AMARELO
1000214-81.2022.5.02.0014;São Paulo;SP;Apartamento;Praça Irmãos Karmann nº 222, Apto. 121, Sumaré, Perdizes, São Paulo/SP;R$ 1.500.000,00;40%;25/06/2026;25/06/2026;R$ 600.000,00;R$ 18.000,00;R$ 30.000,00;R$ 30.000,00;R$ 30.000,00;R$ 708.000,00;R$ 792.000,00;111,86%;55;VERMELHO
1000395-24.2020.5.02.0056;São Paulo;SP;Casa;Rua Desembargador José Mauro Bourroul Ribeiro, 300, Parque dos Príncipes;R$ 1.167.448,00;60%;25/06/2026;25/06/2026;R$ 700.468,80;R$ 21.014,06;R$ 35.023,44;R$ 35.023,44;R$ 35.023,44;R$ 826.553,18;R$ 340.894,82;41,24%;75;AMARELO
1000929-89.2021.5.02.0263;Diadema;SP;Máquinas Industriais (Sucata);Avenida Presidente Juscelino, nº 1.156, Piraporinha, Diadema/SP;R$ 1.150.000,00;100%;25/06/2026;25/06/2026;R$ 1.150.000,00;R$ 34.500,00;R$ 57.500,00;R$ 57.500,00;R$ 57.500,00;R$ 1.357.000,00;-R$ 207.000,00;-15,25%;35;VERMELHO
1000161-81.2021.5.02.0064;São Paulo;SP;Prédio;Rua Antônio Dias da Silva, 62, Vila Amália, São Paulo/SP;R$ 980.000,00;40%;25/06/2026;25/06/2026;R$ 392.000,00;R$ 11.760,00;R$ 19.600,00;R$ 19.600,00;R$ 19.600,00;R$ 462.560,00;R$ 517.440,00;111,86%;45;VERMELHO
1001214-11.2020.5.02.0492;Sumaré;SP;Apartamento;Avenida Rebouças, nº 3.300, apartamento nº 44, Condomínio Edifício Sílvio Ongaro, Parque Ongaro, Sumaré/SP;R$ 940.000,00;40%;25/06/2026;25/06/2026;R$ 376.000,00;R$ 11.280,00;R$ 18.800,00;R$ 18.800,00;R$ 18.800,00;R$ 443.680,00;R$ 496.320,00;111,86%;75;AMARELO
0000115-24.2011.5.02.0432;Santo André;SP;Terreno;Rua Luiz de Camões, s/nº - Quadra nº 04 (ao lado do nº 202) - Vila Sacadura Cabral - Santo André/SP;R$ 800.000,00;40%;25/06/2026;25/06/2026;R$ 320.000,00;R$ 9.600,00;R$ 16.000,00;R$ 16.000,00;R$ 16.000,00;R$ 377.600,00;R$ 422.400,00;111,86%;50;VERMELHO
1000925-56.2018.5.02.0037;Poções;BA;Casa;Rua Sebastião Cardoso, 08, Centro;R$ 769.928,00;55%;25/06/2026;25/06/2026;R$ 423.460,40;R$ 12.703,81;R$ 21.173,02;R$ 21.173,02;R$ 21.173,02;R$ 499.683,27;R$ 270.244,73;54,08%;35;VERMELHO
1001129-24.2017.5.02.0009;Barueri;SP;Apartamento;Rua Werner Goldberg, nº 157, apto 127, Torre Paineira, Vila Dom José, Barueri/SP;R$ 756.000,00;30%;25/06/2026;25/06/2026;R$ 226.800,00;R$ 6.804,00;R$ 11.340,00;R$ 11.340,00;R$ 11.340,00;R$ 267.624,00;R$ 488.376,00;182,49%;35;VERMELHO
1001314-29.2022.5.02.0610;São Paulo;SP;Casa;Rua João Luiz Faria, 46, Jardim Brasília;R$ 750.000,00;75%;25/06/2026;25/06/2026;R$ 562.500,00;R$ 16.875,00;R$ 28.125,00;R$ 28.125,00;R$ 28.125,00;R$ 663.750,00;R$ 86.250,00;12,99%;60;AMARELO
1000883-61.2018.5.02.0019;São Paulo;SP;Casa;Travessa Luiz Gonçalves da Cunha, 7 - Saúde - São Paulo/SP;R$ 749.010,00;40%;25/06/2026;25/06/2026;R$ 299.604,00;R$ 8.988,12;R$ 14.980,20;R$ 14.980,20;R$ 14.980,20;R$ 353.532,72;R$ 395.477,28;111,86%;50;VERMELHO
1000474-50.2016.5.02.0021;São Paulo;SP;Casa;Rua Salatiel de Campos, nº 356, Jaguaré;R$ 698.000,00;60%;25/06/2026;25/06/2026;R$ 418.800,00;R$ 12.564,00;R$ 20.940,00;R$ 20.940,00;R$ 20.940,00;R$ 494.184,00;R$ 203.816,00;41,24%;60;AMARELO
1000228-37.2017.5.02.0371;São Paulo;SP;Prédio e Terreno;Rua Alcides Alves, nº 158, Casa Verde;R$ 690.000,00;60%;25/06/2026;25/06/2026;R$ 414.000,00;R$ 12.420,00;R$ 20.700,00;R$ 20.700,00;R$ 20.700,00;R$ 488.520,00;R$ 201.480,00;41,24%;80;VERDE
0002710-19.2013.5.02.0046;São Paulo;SP;Apartamento;Rua Harmonia, nº 662, apto 84, Sumarezinho, Vila Madalena;R$ 620.000,00;40%;25/06/2026;25/06/2026;R$ 248.000,00;R$ 7.440,00;R$ 12.400,00;R$ 12.400,00;R$ 12.400,00;R$ 292.640,00;R$ 327.360,00;111,86%;45;VERMELHO
1000696-97.2023.5.02.0465;São Bernardo do Campo;SP;Terreno com benfeitorias;Estrada Servidão de Passagem, 274, Bairro Riacho Grande, São Bernardo do Campo/SP;R$ 600.000,00;50%;25/06/2026;25/06/2026;R$ 300.000,00;R$ 9.000,00;R$ 15.000,00;R$ 15.000,00;R$ 15.000,00;R$ 354.000,00;R$ 246.000,00;69,49%;25;VERMELHO
1001169-44.2022.5.02.0263;Guarujá;SP;Prédio e Terreno;Rua Antônio Santos Branco, nº 315, Enseada, Guarujá/SP;R$ 550.000,00;100%;25/06/2026;25/06/2026;R$ 550.000,00;R$ 16.500,00;R$ 27.500,00;R$ 27.500,00;R$ 27.500,00;R$ 649.000,00;-R$ 99.000,00;-15,25%;60;AMARELO
1000002-88.2022.5.02.0231;Barueri;SP;Escritório;Alameda Araguaia, nºs 2750/2800/2880, escritório nº 1010, Alphaville Industrial;R$ 530.000,00;40%;25/06/2026;25/06/2026;R$ 212.000,00;R$ 6.360,00;R$ 10.600,00;R$ 10.600,00;R$ 10.600,00;R$ 250.160,00;R$ 279.840,00;111,86%;55;VERMELHO
0001117-84.2011.5.02.0446;São Paulo;SP;Casa;Rua Avaremotemo, nº 306, Vila Progresso, Itaquera;R$ 510.000,00;60%;25/06/2026;25/06/2026;R$ 306.000,00;R$ 9.180,00;R$ 15.300,00;R$ 15.300,00;R$ 15.300,00;R$ 361.080,00;R$ 148.920,00;41,24%;35;VERMELHO
