Processo;Cidade;Estado;Tipo;Endereço;Avaliação;% Leilão;Data Início;Data Fim;Arremate;ITBI (3%);Cartório (5%);Leiloeiro (5%);Honorários (5%);Custos;Lucro;ROI;Score;Status
1000626-29.2021.8.26.0531;Santa Adélia;SP;Conjunto de Imóveis Rurais;Listado no Anexo 5.1.5 do Plano Original;R$ 645.737.355,37;9%;04/05/2026;19/08/2026;R$ 59.214.115,49;R$ 1.776.423,46;R$ 2.960.705,77;R$ 2.960.705,77;R$ 2.960.705,77;R$ 69.872.656,28;R$ 575.864.699,09;824,16%;90;VERDE
1000626-29.2021.8.26.0531;Monções;SP;Usina;Não informado;R$ 370.854.000,00;12%;06/05/2026;07/08/2026;R$ 43.686.601,20;R$ 1.310.598,04;R$ 2.184.330,06;R$ 2.184.330,06;R$ 2.184.330,06;R$ 51.550.189,42;R$ 319.303.810,58;619,40%;95;VERDE
0539652-61.2000.8.26.0100;São Paulo;SP;Imóvel Comercial com Edificações;Av. Professora Ida Kolb, nº 551, bl 02, Casa Verde, São Paulo-SP;R$ 96.374.000,00;50%;12/06/2026;28/07/2026;R$ 48.187.000,00;R$ 1.445.610,00;R$ 2.409.350,00;R$ 2.409.350,00;R$ 2.409.350,00;R$ 56.860.660,00;R$ 39.513.340,00;69,49%;5;VERMELHO
0014940-41.2008.8.26.0114;Campinas;SP;Imóvel Urbano;Rua Cônego Cipião, nº 450, Centro, Campinas/SP e Avenida Francisco Glicério, nº 677, Centro, Campinas/SP;R$ 20.401.899,95;100%;15/04/2026;06/05/2026;R$ 20.401.899,95;R$ 612.057,00;R$ 1.020.095,00;R$ 1.020.095,00;R$ 1.020.095,00;R$ 24.074.241,94;-R$ 3.672.341,99;-15,25%;40;VERMELHO
0002155-27.2020.8.26.0114;Cosmópolis;SP;Imóvel Rural;Estrada do Recanto das Águas, nº 200, Cosmópolis/SP - CEP: 13159-899;R$ 17.292.539,94;50%;23/04/2026;18/05/2026;R$ 8.646.269,97;R$ 259.388,10;R$ 432.313,50;R$ 432.313,50;R$ 432.313,50;R$ 10.202.598,56;R$ 7.089.941,38;69,49%;50;VERMELHO
0050532-20.2002.8.26.0224;São José dos Campos;SP;Chácara;Estrada Dr. Bezerra de Menezes, nº 900, Bairro Torrão de Ouro II, São José dos Campos/SP;R$ 16.986.749,29;50%;24/04/2026;08/06/2026;R$ 8.493.374,65;R$ 254.801,24;R$ 424.668,73;R$ 424.668,73;R$ 424.668,73;R$ 10.022.182,08;R$ 6.964.567,21;69,49%;60;AMARELO
1013268-95.2023.8.26.0100;Praia Grande;SP;Edifício Residencial em Construção;Rua José Lemos do Rego, nº 34, esquina com a Avenida Presidente Castelo Branco, Solemar, Praia Grande/SP;R$ 11.802.900,59;50%;30/04/2026;28/05/2026;R$ 5.901.450,30;R$ 177.043,51;R$ 295.072,51;R$ 295.072,51;R$ 295.072,51;R$ 6.963.711,35;R$ 4.839.189,24;69,49%;20;VERMELHO
0005314-55.2013.8.26.0297;Ribeirão Cascalheira;MT;Área de terras;FAZENDA RINCON PORÃ - GLEBA B, com a área de 1.216,1225 ha, Ribeirão Cascalheira/MT;R$ 8.260.965,56;60%;10/06/2026;03/07/2026;R$ 4.956.579,34;R$ 148.697,38;R$ 247.828,97;R$ 247.828,97;R$ 247.828,97;R$ 5.848.763,62;R$ 2.412.201,94;41,24%;45;VERMELHO
0002123-84.2022.8.26.0297;Ribeirão Cascalheira;MT;Fazenda;FAZENDA RINCON PORÃ – GLEBA B, área de 1.216,1225 ha, zona rural do município de Ribeirão Cascalheira – MT, distante 18,5 km do centro (Fórum), acesso pela BR-158.;R$ 8.203.408,98;60%;06/04/2026;29/04/2026;R$ 4.922.045,39;R$ 147.661,36;R$ 246.102,27;R$ 246.102,27;R$ 246.102,27;R$ 5.808.013,56;R$ 2.395.395,42;41,24%;30;VERMELHO
0078141-54.2005.8.26.0100;São Paulo;SP;Terreno;Rua Natal Basile, esquina com a Rua Kampala, Jardim América da Penha;R$ 6.400.000,00;50%;13/04/2026;28/05/2026;R$ 3.200.000,00;R$ 96.000,00;R$ 160.000,00;R$ 160.000,00;R$ 160.000,00;R$ 3.776.000,00;R$ 2.624.000,00;69,49%;20;VERMELHO
0001486-61.2021.8.26.0106;Franco da Rocha;SP;Terreno;Avenida Giovani Rinaldi, s/n, Parque Vitória, Franco da Rocha/SP, CEP 07854-120;R$ 6.059.363,30;50%;08/05/2026;01/06/2026;R$ 3.029.681,65;R$ 90.890,45;R$ 151.484,08;R$ 151.484,08;R$ 151.484,08;R$ 3.575.024,35;R$ 2.484.338,95;69,49%;20;VERMELHO
1096422-79.2021.8.26.0100;Cabo Frio;RJ;Terrenos;Rua das Pacas - Sítio do Gravatá 1 (Quadras 41, 49, 44, 40, 42 e 43) e Sítio do Gravatá 2, (Quadras 57, 30 e 46) da planta “C‑Extra”, do loteamento denominado Cidade Nova Califórnia, 2º Distrito, Tamoios - Cabo Frio/RJ;R$ 5.377.300,12;20%;18/05/2026;08/06/2026;R$ 1.075.460,02;R$ 32.263,80;R$ 53.773,00;R$ 53.773,00;R$ 53.773,00;R$ 1.269.042,83;R$ 4.108.257,29;323,73%;40;VERMELHO
1005727-50.2019.8.26.0100;Pedro Canário;ES;Terreno rural com benfeitorias;"Lugar denominado ""Cristal, Engano e Afluente do Dourado"", Zona Rural de Pedro Canário - ES";R$ 4.394.009,63;50%;01/06/2026;16/07/2026;R$ 2.197.004,82;R$ 65.910,14;R$ 109.850,24;R$ 109.850,24;R$ 109.850,24;R$ 2.592.465,68;R$ 1.801.543,95;69,49%;5;VERMELHO
1002222-91.2023.8.26.0106;Angatuba;SP;Gleba rural;Fazenda Cachoeira II, Bairro Campina dos Mineiros, Angatuba/SP;R$ 3.938.861,88;60%;10/04/2026;23/04/2026;R$ 2.363.317,13;R$ 70.899,51;R$ 118.165,86;R$ 118.165,86;R$ 118.165,86;R$ 2.788.714,21;R$ 1.150.147,67;41,24%;60;AMARELO
