Processo;Cidade;Estado;Tipo;Metragem;Endereço;Avaliação;% Leilão;Data Início;Data Fim;Arremate;ITBI (3%);Cartório (5%);Leiloeiro (5%);Honorários (5%);Custos;Lucro;ROI;Score;Status
1000626-29.2021.8.26.0531;Itapira;SP;Complexo Industrial (Usina);0,00 m²;Município de Itapira, SP;R$ 225.707.000,00;100%;08/05/2026;12/08/2026;R$ 225.707.000,00;R$ 6.771.210,00;R$ 11.285.350,00;R$ 11.285.350,00;R$ 11.285.350,00;R$ 266.334.260,00;-4062726000,00%;88;VERDE;
0539652-61.2000.8.26.0100;São Paulo;SP;Edifício Comercial;8.134,39 m²;Av. Professora Ida Kolb, nº 551, bl 02, Casa Verde;R$ 96.374.000,00;50%;12/06/2026;28/07/2026;R$ 48.187.000,00;R$ 1.445.610,00;R$ 2.409.350,00;R$ 2.409.350,00;R$ 2.409.350,00;R$ 56.860.660,00;3951334000,00%;15;VERMELHO;
0004631-74.2006.8.11.0040;Sorriso;MT;Imóvel Rural;315,49 m²;Gleba Rio Verde, Lote Dal Bosco, Sorriso - MT;R$ 49.265.847,30;50%;07/05/2026;15/05/2026;R$ 24.632.923,65;R$ 738.987,71;R$ 1.231.646,18;R$ 1.231.646,18;R$ 1.231.646,18;R$ 29.066.849,91;2019899739,30%;50;VERMELHO;
0000113-41.2018.5.23.0071;Jaciara;MT;Imóvel Rural;30.066.170,00 m²;Km 295 da Rodovia BR-364/BR-163, S/N, a 1.200 metros das margens da BR;R$ 30.066.170,00;60%;18/05/2026;11/06/2026;R$ 18.039.702,00;R$ 541.191,06;R$ 901.985,10;R$ 901.985,10;R$ 901.985,10;R$ 21.286.848,36;877932164,00%;50;VERMELHO;
0000113-41.2018.5.23.0071;Jaciara;MT;Imóvel Rural (Fazenda);3.006,62 m²;km 295 da Rodovia BR-364, S/N, a 1.200 metros das margens, Jaciara/MT;R$ 30.066.170,00;60%;18/05/2026;11/06/2026;R$ 18.039.702,00;R$ 541.191,06;R$ 901.985,10;R$ 901.985,10;R$ 901.985,10;R$ 21.286.848,36;877932164,00%;70;AMARELO;
0072300-79.1994.5.01.0401;Cajamar;SP;Gleba de Terras;92.815,07 m²;Gleba de Terras, localizada em perímetro urbano, de frente para a Rodovia Anhanguera, km 39 + 750m, no sentido interior - Capital/SP, no município de Cajamar;R$ 30.000.000,00;50%;16/04/2026;26/05/2026;R$ 15.000.000,00;R$ 450.000,00;R$ 750.000,00;R$ 750.000,00;R$ 750.000,00;R$ 17.700.000,00;1230000000,00%;90;VERDE;
1001774-77.2022.5.02.0040;São Paulo;SP;Prédio Comercial;3.060,00 m²;Rua Catumbi, nº 1.393-A, Catumbi, São Paulo/SP;R$ 28.000.000,00;40%;16/07/2026;16/07/2026;R$ 11.200.000,00;R$ 336.000,00;R$ 560.000,00;R$ 560.000,00;R$ 560.000,00;R$ 13.216.000,00;1478400000,00%;65;AMARELO;
5003081-59.2019.813.0003;São Paulo;SP;Conjunto comercial de prédios;0,00 m²;Rua Nova dos Portugueses, 351, bairro Chora Menino;R$ 22.850.000,00;50%;04/05/2026;25/05/2026;R$ 11.425.000,00;R$ 342.750,00;R$ 571.250,00;R$ 571.250,00;R$ 571.250,00;R$ 13.481.500,00;936850000,00%;15;VERMELHO;
0001503-61.2014.8.11.0009;Colíder;MT;Imóvel Rural;49.499,00 m²;Lote nº 680 da GLEBA CAFEZAL, Colíder/MT;R$ 14.711.395,77;50%;29/05/2026;16/06/2026;R$ 7.355.697,89;R$ 220.670,94;R$ 367.784,89;R$ 367.784,89;R$ 367.784,89;R$ 8.679.723,50;603167226,57%;75;AMARELO;
1029713-20.2021.8.26.0114;Campinas;SP;Imóvel Comercial;4.860,72 m²;Rua Francisco Bueno Lacerda, 250, Parque Itália;R$ 14.362.430,18;60%;12/05/2026;08/06/2026;R$ 8.617.458,11;R$ 258.523,74;R$ 430.872,91;R$ 430.872,91;R$ 430.872,91;R$ 10.168.600,57;419382961,26%;65;AMARELO;
0130800-03.2007.5.23.0036;Sinop;MT;Área de terras rural;193,60 m²;BR 163, Km 896, mais 2,5 km a direita, divisando com o fundo da Fazenda Primavera. Acesso atual pela Fazenda Primavera sendo localizada na divisa desta, Gleba Atlântica, Município de Sinop – MT;R$ 12.584.000,00;70%;28/05/2026;11/06/2026;R$ 8.808.800,00;R$ 264.264,00;R$ 440.440,00;R$ 440.440,00;R$ 440.440,00;R$ 10.394.384,00;218961600,00%;15;VERMELHO;
1000157-75.2022.5.02.0301;Guarujá;SP;Terreno;40.462,72 m²;Avenida Paulo Eduardo Castrucci s/n - Gleba B3 - CING - Guarujá/SP;R$ 10.115.677,50;40%;16/07/2026;16/07/2026;R$ 4.046.271,00;R$ 121.388,13;R$ 202.313,55;R$ 202.313,55;R$ 202.313,55;R$ 4.774.599,78;534107772,00%;75;AMARELO;
0007325-45.2014.8.07.0008;Brasília;DF;Terreno;20.160,00 m²;Rodovia DF-250, KM 2,5, Fazenda Paranoá, Brasília-DF;R$ 10.086.838,00;70%;05/05/2026;08/05/2026;R$ 7.060.786,60;R$ 211.823,60;R$ 353.039,33;R$ 353.039,33;R$ 353.039,33;R$ 8.331.728,19;175510981,20%;15;VERMELHO;
0001611-86.2013.5.02.0022;São José dos Campos;SP;Terreno;9.736,16 m²;Estrada Municipal Glaudiston Pereira de Oliveira (esquina com a Av. Brigadeiro Faria Lima), Bairro do Putim, São José dos Campos/SP;R$ 8.161.320,00;40%;16/07/2026;16/07/2026;R$ 3.264.528,00;R$ 97.935,84;R$ 163.226,40;R$ 163.226,40;R$ 163.226,40;R$ 3.852.143,04;430917696,00%;65;AMARELO;
1007775-57.2020.8.11.0037;Colniza;MT;Imóvel Rural;2.462,00 m²;Uma área de terras denominada Lote Mogno, Gleba II ou Pau Brasil, Fazenda Água Funda, município de Colniza, MT, matriculado sob o nº 980.;R$ 7.480.133,03;50%;15/05/2026;22/05/2026;R$ 3.740.066,52;R$ 112.202,00;R$ 187.003,33;R$ 187.003,33;R$ 187.003,33;R$ 4.413.278,49;306685454,23%;45;VERMELHO;
0101258-35.2013.5.17.0152;Guarapari;ES;Terreno;1.751,20 m²;quadra 87 (oitenta e sete) do loteamento Nova Praia do Morro, Município de Guarapari, ES;R$ 7.004.800,00;50%;02/06/2026;24/06/2026;R$ 3.502.400,00;R$ 105.072,00;R$ 175.120,00;R$ 175.120,00;R$ 175.120,00;R$ 4.132.832,00;287196800,00%;90;VERDE;
0310800-48.2003.5.02.0383;São Paulo;SP;Prédio;710,00 m²;Rua Jaime Costa nº 360, Jardim Morumby, 30º Subdistrito Ibirapuera;R$ 6.600.000,00;50%;16/07/2026;16/07/2026;R$ 3.300.000,00;R$ 99.000,00;R$ 165.000,00;R$ 165.000,00;R$ 165.000,00;R$ 3.894.000,00;270600000,00%;35;VERMELHO;
0000718-47.2017.5.12.0032;Biguaçu;SC;Terreno com galpões;1.540,20 m²;Rua Cônego Machado, nº 771, Bairro Universitário, Biguaçu/SC, CEP 88160.000;R$ 6.300.000,00;53%;18/06/2026;25/06/2026;R$ 3.339.000,00;R$ 100.170,00;R$ 166.950,00;R$ 166.950,00;R$ 166.950,00;R$ 3.940.020,00;235998000,00%;95;VERDE;
5022940-93.2022.8.13.0702;Uberlândia;MG;Imóvel Comercial;1.233,60 m²;Avenida Cipriano Del¿Fávero n.º 991 e 995 e Rua Padre Feijó n.º 28;R$ 6.082.500,00;70%;15/04/2026;29/04/2026;R$ 4.257.750,00;R$ 127.732,50;R$ 212.887,50;R$ 212.887,50;R$ 212.887,50;R$ 5.024.145,00;105835500,00%;55;VERMELHO;
1112002-62.2015.8.26.0100;São Paulo;SP;Imóvel Comercial com Terreno;1.105,00 m²;Rua Odorico Mendes, nº 55, esquina com a rua Coronel Cintra, no 16º Subdistrito - Mooca, São Paulo-SP, Cep 03106-030;R$ 6.077.500,00;70%;08/05/2026;25/06/2026;R$ 4.254.250,00;R$ 127.627,50;R$ 212.712,50;R$ 212.712,50;R$ 212.712,50;R$ 5.020.015,00;105748500,00%;90;VERDE;
