Processo;Cidade;Estado;Tipo;Endereço;Avaliação;% Leilão;Data Início;Data Fim;Arremate;ITBI (3%);Cartório (5%);Leiloeiro (5%);Honorários (5%);Custos;Lucro;ROI;Score;Status
1202722-60.2024.8.26.0100;São Paulo;SP;Imóvel Industrial e Terreno;Rua Dom Vilares nº 1680, Vila Vera;R$ 14.836.000,00;50%;07/04/2026;06/05/2026;R$ 7.418.000,00;R$ 222.540,00;R$ 370.900,00;R$ 370.900,00;R$ 370.900,00;R$ 8.753.240,00;R$ 6.082.760,00;69,49%;35;VERMELHO
0071349-97.2023.8.16.0014;Londrina;PR;Lote de Terras Rurais;Lote de Terras Rurais n. 2/5A-B, de subdivisão da Fazenda Nossa Senhora Aparecida (antiga Três Bocas), localizado e com acesso no sentido Tamarana/Castelo Eldorado, a partir do trevo de Tamarana, segue por estrada rural a cerca de 6 Km, lado direito, Distrito de Guaravera.;R$ 13.579.412,82;60%;12/03/2026;06/05/2026;R$ 8.147.647,69;R$ 244.429,43;R$ 407.382,38;R$ 407.382,38;R$ 407.382,38;R$ 9.614.224,28;R$ 3.965.188,54;41,24%;55;VERMELHO
1202722-60.2024.8.26.0100;Sorocaba;SP;Imóvel Industrial e Terreno;Av. Jerome Casé (Próximo à Castelinho);R$ 10.670.000,00;50%;07/04/2026;06/05/2026;R$ 5.335.000,00;R$ 160.050,00;R$ 266.750,00;R$ 266.750,00;R$ 266.750,00;R$ 6.295.300,00;R$ 4.374.700,00;69,49%;35;VERMELHO
0001159-09.2016.8.16.0062;Boa Vista da Aparecida;PR;Lote Rural com benfeitorias;Lote Rural nº 345 da gleba nº 08, do imóvel Andrada, situado no perímetro rural do Município de Boa Vista da Aparecida, Comarca de Capitão Leônidas Marques, Paraná.;R$ 3.364.561,81;50%;14/04/2026;07/05/2026;R$ 1.682.280,91;R$ 50.468,43;R$ 84.114,05;R$ 84.114,05;R$ 84.114,05;R$ 1.985.091,47;R$ 1.379.470,34;69,49%;95;VERDE
0244400-35.1998.5.12.0032;São José;SC;Apartamento;Apartamento n° 001, do Bloco K, do Conjunto Habitacional Bela Vista IV, bairro Bela Vista, São José/SC;R$ 2.300.000,00;53%;07/05/2026;14/05/2026;R$ 1.219.000,00;R$ 36.570,00;R$ 60.950,00;R$ 60.950,00;R$ 60.950,00;R$ 1.438.420,00;R$ 861.580,00;59,90%;95;VERDE
0001907-04.2023.8.16.0189;Pontal do Paraná;PR;Terreno com construções;Lote de terreno nº 22, da quadra nº 38, da planta Canter Grill - Praia das Canoas, Pontal do Paraná – PR;R$ 2.294.083,00;50%;17/04/2026;27/04/2026;R$ 1.147.041,50;R$ 34.411,25;R$ 57.352,08;R$ 57.352,08;R$ 57.352,08;R$ 1.353.508,97;R$ 940.574,03;69,49%;50;VERMELHO
0725402-72.2020.8.07.0001;Brasília;DF;Veículo;N/A;R$ 223.500,00;60%;28/04/2026;30/04/2026;R$ 134.100,00;R$ 4.023,00;R$ 6.705,00;R$ 6.705,00;R$ 6.705,00;R$ 158.238,00;R$ 65.262,00;41,24%;45;VERMELHO
5002913-28.2023.4.04.7108;Sapiranga;RS;Apartamento;Apartamento nº 233, Bloco 2, Residencial Monte Castelo, Rua Monte Castelo, Sapiranga, RS;R$ 1.960.000,00;50%;07/04/2026;14/04/2026;R$ 980.000,00;R$ 29.400,00;R$ 49.000,00;R$ 49.000,00;R$ 49.000,00;R$ 1.156.400,00;R$ 803.600,00;69,49%;70;AMARELO
0025454-37.2012.8.13.0191;Corinto;MG;Veículos;Rua Pedro de Souza, 687, Centro, Corinto/MG;R$ 1.920.000,00;50%;06/05/2026;29/07/2026;R$ 960.000,00;R$ 28.800,00;R$ 48.000,00;R$ 48.000,00;R$ 48.000,00;R$ 1.132.800,00;R$ 787.200,00;69,49%;45;VERMELHO
0700509-31.2018.8.07.0019;Recanto das Emas;DF;Casa;Quadra 115, Conjunto 05, Lote 18, Recanto das Emas/DF;R$ 1.850.200,00;50%;24/03/2026;27/03/2026;R$ 925.100,00;R$ 27.753,00;R$ 46.255,00;R$ 46.255,00;R$ 46.255,00;R$ 1.091.618,00;R$ 758.582,00;69,49%;40;VERMELHO
0716031-95.2022.8.07.0007;Taguatinga;DF;Apartamento;Apartamento nº 608, vaga de garagem nº 88, lotes 11, 12 e 13, Quadra QI 3, Setor Industrial, Taguatinga, Distrito Federal;R$ 1.666.821,00;70%;27/04/2026;29/04/2026;R$ 1.166.774,70;R$ 35.003,24;R$ 58.338,74;R$ 58.338,74;R$ 58.338,74;R$ 1.376.794,15;R$ 290.026,85;21,07%;20;VERMELHO
0004798-97.2012.8.13.0049;São Thomé das Letras;MG;Gleba de terras;Serra do Pião, São Thomé das Letras/MG;R$ 1.643.473,13;50%;23/03/2026;24/08/2026;R$ 821.736,57;R$ 24.652,10;R$ 41.086,83;R$ 41.086,83;R$ 41.086,83;R$ 969.649,15;R$ 673.823,98;69,49%;30;VERMELHO
0640886-03.2011.8.13.0702;Uberlândia;MG;Apartamento;Rua Luzia Narcisa de Jesus, 131, Apto 22 no segundo Pavimento do Bloco B, Edificio Vera Cruz, Condominio Mexico, em Uberlandia.;R$ 1.600.000,00;60%;04/05/2026;29/05/2026;R$ 960.000,00;R$ 28.800,00;R$ 48.000,00;R$ 48.000,00;R$ 48.000,00;R$ 1.132.800,00;R$ 467.200,00;41,24%;23;VERMELHO
1501850-76.2017.8.26.0274;Itápolis;SP;Casa;Rua Sirlei Bardelotti Torre, nº 20, Jardim São Lucas;R$ 1.597.698,00;60%;27/04/2026;19/05/2026;R$ 958.618,80;R$ 28.758,56;R$ 47.930,94;R$ 47.930,94;R$ 47.930,94;R$ 1.131.170,18;R$ 466.527,82;41,24%;45;VERMELHO
0000023-74.2022.5.05.0271;Cansanção;BA;Veículo;Rua Clara Coelho Modesto, ao lado do Supermercado do Val, próximo à feira livre do Município de Cansanção, Centro, Cansanção/BA;R$ 1.500.000,00;50%;05/05/2026;15/09/2026;R$ 750.000,00;R$ 22.500,00;R$ 37.500,00;R$ 37.500,00;R$ 37.500,00;R$ 885.000,00;R$ 615.000,00;69,49%;45;VERMELHO
5013369-43.2018.8.13.0701;Uberaba;MG;Bens Móveis;Rua Antônio Damiani, nº 110, Parque das Gameleiras, Uberaba, MG, Cep: 38.037-300;R$ 1.420.000,00;20%;12/03/2026;27/03/2026;R$ 284.000,00;R$ 8.520,00;R$ 14.200,00;R$ 14.200,00;R$ 14.200,00;R$ 335.120,00;R$ 1.084.880,00;323,73%;90;VERDE
5003209-51.2018.8.13.0056;Santa Bárbara do Tugúrio;MG;Veículo;Rua Santa Luzia, n° 28, Bairro Sagrado Coração de Jesus, CEP 36215-000, Santa Bárbara do Tugúrio/MG;R$ 1.350.000,00;50%;06/04/2026;04/05/2026;R$ 675.000,00;R$ 20.250,00;R$ 33.750,00;R$ 33.750,00;R$ 33.750,00;R$ 796.500,00;R$ 553.500,00;69,49%;75;AMARELO
