;;;;;;;;;;;;;;;;;;
Processo;Cidade;Estado;Tipo;Endereço;Avaliação;% Leilão;Data Início;Data Fim;Arremate;ITBI (3%);Cartório (5%);Leiloeiro (5%);Honorários (5%);Custos;Lucro;ROI;Score;Status
0101320-63.2019.5.01.0038;Rio de Janeiro;RJ;Terreno;Estrada do Grumari, Lote 6 do PA 38.950, fazendo testada para a Rua Professora Francisca Caldeira, FREGUESIA DE GUARATIBA;R$ 72.000.000,00;20%;17/03/2026;12/05/2026;R$ 14.400.000,00;R$ 432.000,00;R$ 720.000,00;R$ 720.000,00;R$ 720.000,00;R$ 16.992.000,00;R$ 55.008.000,00;323,73%;100;VERDE
0000098-59.2013.5.01.0039;Rio de Janeiro;RJ;Prédio;Estrada do Mendanha, 4489, Campo Grande, Rio de Janeiro/RJ;R$ 47.000.000,00;60%;15/06/2026;16/06/2026;R$ 28.200.000,00;R$ 846.000,00;R$ 1.410.000,00;R$ 1.410.000,00;R$ 1.410.000,00;R$ 33.276.000,00;R$ 13.724.000,00;41,24%;95;VERDE
0000273-88.2021.5.06.0312;CARUARU;PE;Casa;Rua Antônio Martins, bairro Vassoural, Caruaru/PE;R$ 1.870.268,00;60%;17/03/2026;13/07/2026;R$ 1.122.160,80;R$ 33.664,82;R$ 56.108,04;R$ 56.108,04;R$ 56.108,04;R$ 1.324.149,74;R$ 546.118,26;41,24%;65;AMARELO
0000189-03.2018.5.13.0020;João Pessoa;PB;Terreno;"Parte de terras da Fazenda Engenho Corredor, na estrada que liga Pilar-São Miguel de Taipu, a 100m à direita do marco de coordenadas 7°15'45.2""S 35°14'13.7""W";R$ 1.500.000,00;50%;16/03/2026;31/03/2026;R$ 750.000,00;R$ 22.500,00;R$ 37.500,00;R$ 37.500,00;R$ 37.500,00;R$ 885.000,00;R$ 615.000,00;69,49%;40;VERMELHO
0009509-43.2012.8.16.0056;Cambé;PR;Terreno;Imóvel data de terra sob o nº31, da quadra nº03, com área de 299,66 metros quadrados, situada no Jardim Tupi, subdivisão dos lotes nº92, 93 e 43ª, da Gleba Cambé, nesta cidade e Comarca de Cambé.;R$ 1.500.000,00;60%;16/03/2026;05/05/2026;R$ 900.000,00;R$ 27.000,00;R$ 45.000,00;R$ 45.000,00;R$ 45.000,00;R$ 1.062.000,00;R$ 438.000,00;41,24%;95;VERDE
0368330-09.1996.8.13.0024;Divinópolis;MG;Terreno;Alameda Um, Vivendas da Exposição, Divinópolis, MG;R$ 1.500.000,00;70%;16/03/2026;29/04/2026;R$ 1.050.000,00;R$ 31.500,00;R$ 52.500,00;R$ 52.500,00;R$ 52.500,00;R$ 1.239.000,00;R$ 261.000,00;21,07%;30;VERMELHO
0058064-47.2002.8.04.0001;Manaus;AM;Prédio;Avenida Joaquim Nabuco, nº 303, Centro, Manaus/AM;R$ 1.450.000,00;50%;25/03/2026;27/03/2026;R$ 725.000,00;R$ 21.750,00;R$ 36.250,00;R$ 36.250,00;R$ 36.250,00;R$ 855.500,00;R$ 594.500,00;69,49%;85;VERDE
0001162-62.2013.5.02.0432;Suzano;SP;Terreno com casa;Rua Cel. Júlio M. Salgado, 81, Clube dos Oficiais;R$ 1.350.000,00;40%;25/06/2026;25/06/2026;R$ 540.000,00;R$ 16.200,00;R$ 27.000,00;R$ 27.000,00;R$ 27.000,00;R$ 637.200,00;R$ 712.800,00;111,86%;50;VERMELHO
0000236-92.2024.5.12.0052;Rodeio;SC;Veículo;Rua Barão do Rio Branco, 2.535, Gávea;R$ 1.310.000,00;50%;12/05/2026;19/05/2026;R$ 655.000,00;R$ 19.650,00;R$ 32.750,00;R$ 32.750,00;R$ 32.750,00;R$ 772.900,00;R$ 537.100,00;69,49%;85;VERDE
0037595-24.2023.8.26.0100;Guarujá;SP;Apartamento;Rua Dr. Gervásio Bonavides, 105 - Vila Luís Antônio;R$ 1.239.985,33;25%;30/03/2026;23/04/2026;R$ 309.996,33;R$ 9.299,89;R$ 15.499,82;R$ 15.499,82;R$ 15.499,82;R$ 365.795,67;R$ 874.189,66;238,98%;75;AMARELO
0739306-62.2020.8.07.0001;Santo Antônio do Descoberto II;GO;Terreno;Lote nº 69 do Condomínio Estância Sollarium, Fazenda Espírito Santo, localizado na Q. 0, L. 0, N. 14, R-08, Zona Rural, Santo Antônio do Descoberto II/GO;R$ 1.200.000,00;75%;27/05/2026;29/05/2026;R$ 900.000,00;R$ 27.000,00;R$ 45.000,00;R$ 45.000,00;R$ 45.000,00;R$ 1.062.000,00;R$ 138.000,00;12,99%;5;VERMELHO
0000256-12.2022.5.06.0023;GOIANA;PE;Terreno;Lote de Tereno 14 da quadra C-23, Loteamento Estrela do Mar, 1ª etapa, Ponta de Pedra;R$ 1.000.000,00;60%;17/03/2026;27/07/2026;R$ 600.000,00;R$ 18.000,00;R$ 30.000,00;R$ 30.000,00;R$ 30.000,00;R$ 708.000,00;R$ 292.000,00;41,24%;75;AMARELO
0000256-12.2022.5.06.0023;GOIANA;PE;Terreno;Lote de Tereno 14 da quadra C-23, Loteamento Estrela do Mar, 1ª etapa, Ponta de Pedra, Goiana/PE;R$ 1.000.000,00;60%;17/03/2026;27/07/2026;R$ 600.000,00;R$ 18.000,00;R$ 30.000,00;R$ 30.000,00;R$ 30.000,00;R$ 708.000,00;R$ 292.000,00;41,24%;90;VERDE
0000256-12.2022.5.06.0023;GOIANA;PE;Terreno;Lote de Tereno 14 da quadra C-23, Loteamento Estrela do Mar, 1ª etapa, Ponta de Pedra, Goiana/PE;R$ 1.000.000,00;60%;17/03/2026;27/07/2026;R$ 600.000,00;R$ 18.000,00;R$ 30.000,00;R$ 30.000,00;R$ 30.000,00;R$ 708.000,00;R$ 292.000,00;41,24%;90;VERDE
0007741-59.2006.8.11.0015;Mundo Novo;MS;Casa;Lote nº 02 da Quadra nº 37 do Projeto Integrado de Colonização de Iguatemi, Mundo Novo, MS;R$ 923.555,54;60%;15/05/2026;15/05/2026;R$ 554.133,32;R$ 16.624,00;R$ 27.706,67;R$ 27.706,67;R$ 27.706,67;R$ 653.877,32;R$ 269.678,22;41,24%;50;VERMELHO
0002913-87.2024.8.25.0083;Aracaju;SE;Apartamento;Avenida Euclides Figueiredo, Bairro Porto Dantas, N° 4155, Aracaju/SE;R$ 800.000,00;50%;10/04/2026;24/04/2026;R$ 400.000,00;R$ 12.000,00;R$ 20.000,00;R$ 20.000,00;R$ 20.000,00;R$ 472.000,00;R$ 328.000,00;69,49%;40;VERMELHO
5002051-67.2022.8.13.0525;Pouso Alegre;MG;Veículo;R. Edson Faria Da Silva, 30, Nossa Senhora Do Pilar ¿ Pouso Alegre/MG. CEP: 37553182.;R$ 774.400,00;50%;16/03/2026;30/04/2026;R$ 387.200,00;R$ 11.616,00;R$ 19.360,00;R$ 19.360,00;R$ 19.360,00;R$ 456.896,00;R$ 317.504,00;69,49%;10;VERMELHO
5038389-64.2017.8.13.0024;Belo Horizonte;MG;Equipamento;Rua Bimbarra, nº. 160, bairro Calafate;R$ 768.000,00;50%;17/03/2026;30/04/2026;R$ 384.000,00;R$ 11.520,00;R$ 19.200,00;R$ 19.200,00;R$ 19.200,00;R$ 453.120,00;R$ 314.880,00;69,49%;50;VERMELHO
1001040-81.2018.5.02.0068;São Paulo;SP;Veículo;Av. General Charles de Gaulle, nº 208, bloco 01, apto 111, Parque São Domingos, São Paulo/SP;R$ 620.000,00;30%;25/06/2026;25/06/2026;R$ 186.000,00;R$ 5.580,00;R$ 9.300,00;R$ 9.300,00;R$ 9.300,00;R$ 219.480,00;R$ 400.520,00;182,49%;95;VERDE
0000202-91.2015.5.12.0001;São José;SC;Apartamento e Vaga de Garagem;Rua nº 04, esquina com a Manoel Loureiro, nº 60, Loteamento Santo Antônio, Distrito de Barreiros, São José/SC (Edifício Residencial Isla Negra, Apartamento 102 e Vaga de Garagem nº 20);R$ 603.967,14;53%;16/03/2026;27/03/2026;R$ 320.102,58;R$ 9.603,08;R$ 16.005,13;R$ 16.005,13;R$ 16.005,13;R$ 377.721,05;R$ 226.246,09;59,90%;60;AMARELO
