Processo;Cidade;Estado;Tipo;Endereço;Avaliação;% Leilão;Data Início;Data Fim;Arremate;ITBI (3%);Cartório (5%);Leiloeiro (5%);Honorários (5%);Custos;Lucro;ROI;Score;Status
0004870-26.2001.8.13.0193;Abadia dos Dourados;MG;Imóvel Rural;Fazenda Rio Preto, Cafundó e Mata do Lenço, Abadia dos Dourados;R$ 10.547.811,03;50%;06/04/2026;07/12/2026;R$ 5.273.905,52;R$ 158.217,17;R$ 263.695,28;R$ 263.695,28;R$ 263.695,28;R$ 6.223.208,51;R$ 4.324.602,52;69,49%;30;VERMELHO
0001223-76.1999.8.26.0081;Santa Cruz do Rio Pardo;SP;Fazenda;Propriedade rural denominada FAZENDA SANTA HELENA, situada em Santa Cruz do Rio Pardo/SP, com a área de 88 (oitenta e oito) alqueires de terras, mais ou menos, iguais a 212,96ha., que assim se descreve: começa no ponto de encontro Água da Mandassaia com cerca de divisa com a Fazenda Solange, sobe por esta cerca, dividindo com a Fazenda Solange, de Ataliba Santos, até a Estrada do Barreiro, onde confronta com Ataliba Santos ou sucessores, Pedro Caminhoto, Félix Peres e outro, voltando à direita até a Água da Cabeceira, subindo por esta (água) até a cerca e canto do mato e voltando à direita, pela divisa do José Escarne e depois com Rosalem, até a Água que nasce no mato do Carrapatal e por esta abaixo até o ponto de encontro desta com a cerca de divisa da Fazenda Solange, onde fecha o perímetro, a propriedade é totalmente cerca e dividida.;R$ 3.239.310,00;60%;03/04/2026;27/04/2026;R$ 1.943.586,00;R$ 58.307,58;R$ 97.179,30;R$ 97.179,30;R$ 97.179,30;R$ 2.293.431,48;R$ 945.878,52;41,24%;20;VERMELHO
0012278-36.2025.8.16.0131;Vitorino;PR;Imóvel Rural;Lote nº 05, do núcleo CAÇADOR, situado no município de Vitorino/PR;R$ 1.998.181,17;50%;16/04/2026;27/04/2026;R$ 999.090,59;R$ 29.972,72;R$ 49.954,53;R$ 49.954,53;R$ 49.954,53;R$ 1.178.926,89;R$ 819.254,28;69,49%;30;VERMELHO
0001122-04.2013.5.01.0531;Teresópolis;RJ;Terreno com benfeitorias residenciais;Rua Caingá, nº 535, Bairro Vale do Paraíso, Teresópolis/RJ;R$ 1.643.285,02;50%;19/05/2026;02/06/2026;R$ 821.642,51;R$ 24.649,28;R$ 41.082,13;R$ 41.082,13;R$ 41.082,13;R$ 969.538,16;R$ 673.746,86;69,49%;60;AMARELO
5005891-84.2022.8.13.0687;Sabinópolis;MG;Prédio misto e Imóvel comercial;"Praça da Independência, nº 37, Centro, Sabinópolis/MG; Praça da Independência, S/N°, Centro, Sabinópolis/MG";R$ 1.499.557,26;50%;02/04/2026;23/04/2026;R$ 749.778,63;R$ 22.493,36;R$ 37.488,93;R$ 37.488,93;R$ 37.488,93;R$ 884.738,78;R$ 614.818,48;69,49%;45;VERMELHO
5005891-84.2022.8.13.0687;Sabinópolis;MG;Edifícios Mistos;Praça da Independência, nº 37 e S/N, Centro, Sabinópolis/MG;R$ 1.499.557,26;50%;02/04/2026;23/04/2026;R$ 749.778,63;R$ 22.493,36;R$ 37.488,93;R$ 37.488,93;R$ 37.488,93;R$ 884.738,78;R$ 614.818,48;69,49%;55;VERMELHO
0000835-17.2004.8.16.0037;Adrianópolis;PR;Área Rural;Quinhão n°1 da fazenda São João do Rio Pardo, Adrianópolis/PR;R$ 1.387.000,00;50%;10/04/2026;24/04/2026;R$ 693.500,00;R$ 20.805,00;R$ 34.675,00;R$ 34.675,00;R$ 34.675,00;R$ 818.330,00;R$ 568.670,00;69,49%;88;VERDE
0000050-60.2023.5.06.0282;SAO JOSE DA COROA GRANDE;PE;Terreno;Praia de Gravatá, Zona Rural, SAO JOSE DA COROA GRANDE;R$ 1.322.000,00;60%;17/03/2026;27/07/2026;R$ 793.200,00;R$ 23.796,00;R$ 39.660,00;R$ 39.660,00;R$ 39.660,00;R$ 935.976,00;R$ 386.024,00;41,24%;90;VERDE
0004102-22.2008.8.26.0152;Cotia;SP;Terreno com benfeitorias;Rua Henri Couri Aidar, 80 – Quinta dos Angicos – Cotia SP – CEP. 06717-330;R$ 1.303.042,32;60%;20/04/2026;14/05/2026;R$ 781.825,39;R$ 23.454,76;R$ 39.091,27;R$ 39.091,27;R$ 39.091,27;R$ 922.553,96;R$ 380.488,36;41,24%;50;VERMELHO
0005613-65.2002.8.26.0152;Cotia;SP;Casa;Rua Quebra Pedra, nº 25, Lote 04 da Quadra E, Colonial Village, Caucaia do Alto, Cotia/SP, CEP 06.728-370;R$ 1.247.679,62;50%;20/04/2026;13/05/2026;R$ 623.839,81;R$ 18.715,19;R$ 31.191,99;R$ 31.191,99;R$ 31.191,99;R$ 736.130,98;R$ 511.548,64;69,49%;50;VERMELHO
